AUC,Accuracy,Function called,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
0.771726259257 (0.0538740030234),0.826753333333 (0.0415577060644),"LogisticRegression(C=0.1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.375483011326 (0.105506259227),0.278173942019 (0.0697959933937),0.190968171971 (0.036294088726),0.166324490068 (0.0267584749754),0.109312712486 (0.00539435383806),0.084031820808 (0.00209180085082),0.0763656327203 (0.00210877342074),0.282229732414 (0.0809382669843),0.417832920838 (0.107489935318),0.573149504003 (0.113605414936),0.6236260439 (0.105313644048),0.818451343504 (0.0475300815858),0.943023798949 (0.0132712787894),0.971103137031 (0.00611678049952),0.322204722883 (0.0915457574538),0.333949496257 (0.0845734658577),0.286453799301 (0.054969184224),0.262585713495 (0.0426314781617),0.192854709304 (0.00962123964512),0.154306321787 (0.00359564766814),0.141590894058 (0.00366916652296),0.00145792961121 (0.000562679080528),0.10856013298 (0.0192761791151)
0.625741135795 (0.0271111798433),0.933313333333 (0.00161239642217),"LogisticRegression(C=0.1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.136309127249 (0.017889532307),0.127090969677 (0.0111090524164),0.114747542076 (0.00365938403101),0.108465537928 (0.00316674264074),0.0895806946204 (0.00615641415077),0.0766365939292 (0.00487561232711),0.0719579624328 (0.00348172175568),0.102226510623 (0.014615823192),0.190436108914 (0.0187648608159),0.343579623411 (0.0132351082789),0.405846852099 (0.0112843648865),0.670097037135 (0.0424612765122),0.859748596408 (0.0467466704806),0.915018111767 (0.0358556419046),0.11681548031 (0.0160570430783),0.152423498279 (0.0139047674343),0.172019612933 (0.00550720322089),0.171164961369 (0.00464678669248),0.158025060497 (0.0106870739612),0.140722590526 (0.00880024420265),0.13341807263 (0.00631562232781),0.00130281448364 (0.00030370209685),0.0753808021545 (0.00348888035654)
0.790603104558 (0.00559792692614),0.768153333333 (0.00452860537767),"LogisticRegression(C=0.5, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",0.420652898068 (0.0122091524999),0.310229923359 (0.00917420852911),0.199966672221 (0.00641159248868),0.173816824423 (0.00487023465279),0.112005866276 (0.00290983464777),0.0847073463402 (0.00223329488203),0.076679345908 (0.00178234236407),0.314909243092 (0.00663506521174),0.464242395697 (0.00420631972657),0.59837261991 (0.00861756953826),0.650174269218 (0.00641172896953),0.837918419326 (0.00778988258155),0.950487593142 (0.0054136507349),0.975188107323 (0.0032618988913),0.360129860655 (0.00789287583745),0.371871153729 (0.00762980865993),0.299726186161 (0.00801170378432),0.274275708415 (0.00640188742004),0.197586552727 (0.00461475354014),0.15554518687 (0.0038039899605),0.142173559241 (0.00305934043865),0.00154542922974 (0.000534576712953),0.895816040039 (0.079779936067)
0.698556391576 (0.00433398495873),0.933873333333 (0.00180004938204),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1e-05,
          verbose=0, warm_start=False)",0.349766822119 (0.0115162107589),0.247717427524 (0.0089502283048),0.164972504583 (0.00518351432503),0.144514064791 (0.00446955195687),0.0987400839944 (0.00237467267663),0.077392115906 (0.00194911517194),0.0709540802321 (0.00175170966264),0.261820957306 (0.00597494517976),0.37065294292 (0.00640115380155),0.493676170565 (0.00786888233003),0.540527982405 (0.00638267486832),0.738695003736 (0.00501202534463),0.868424377657 (0.00381932042989),0.902346600328 (0.00397853715807),0.299428700619 (0.00750255529751),0.296924282944 (0.00823986704266),0.247276731068 (0.00654239811847),0.228033993588 (0.00599554930739),0.174185291691 (0.003721931312),0.142112754008 (0.00330664621452),0.131557872058 (0.00302367948676),0.0015519618988 (0.000519534283946),2.62443537712 (0.501066551841)
0.790663588047 (0.00557989995968),0.768653333333 (0.0045651627694),"LogisticRegression(C=0.5, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=0.001, verbose=0, warm_start=False)",0.420919387075 (0.0118160156042),0.310229923359 (0.00911105463519),0.199966672221 (0.00648051779625),0.173843487535 (0.0048677524836),0.111992533831 (0.00289501376583),0.0847073463402 (0.00223329488203),0.0766871887377 (0.00177230598818),0.315115322433 (0.006531220754),0.464243656367 (0.00404519454919),0.598367327164 (0.00871381799463),0.650273377245 (0.00632185052735),0.837821567026 (0.00780012057376),0.950487593142 (0.0054136507349),0.975291146993 (0.00333528336822),0.360362283665 (0.00763219589367),0.371871564458 (0.00754233971025),0.299725519466 (0.00811081096398),0.274317729636 (0.00639496711379),0.197563114312 (0.00458933071642),0.15554518687 (0.0038039899605),0.142188135438 (0.00304075403153),0.00140805244446 (0.00026812504645),0.554129076004 (0.0685841116077)
0.687698566307 (0.012056875811),0.933253333333 (0.0016930708458),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=0.001,
          verbose=0, warm_start=False)",0.243970686209 (0.0612292928156),0.187537487504 (0.0353645378657),0.140476587235 (0.0158606615224),0.128862818291 (0.0118630173352),0.099180054663 (0.00307814932886),0.0806097506777 (0.00107818566123),0.0741382690875 (0.000862212032614),0.1817386767 (0.0417822456618),0.279685518531 (0.0467515899027),0.419630837995 (0.0385544633057),0.48134129111 (0.0339346091021),0.741867666878 (0.00784694916977),0.904819393645 (0.0127761744424),0.943186556312 (0.0155525882887),0.208277569941 (0.0497553150391),0.224493920935 (0.0403954300483),0.210466510991 (0.0226309945428),0.203279738383 (0.0177707544067),0.174958146801 (0.00496159501085),0.148025070036 (0.00173807847866),0.137465424753 (0.00141994132659),0.00149602890015 (0.000242592018415),0.356114435196 (0.220204522735)
0.753686184582 (0.061823811175),0.82828 (0.0354288620572),"LogisticRegression(C=0.5, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.360559626915 (0.0983958109123),0.266977674109 (0.0663125356746),0.184435927345 (0.0337762526851),0.161845087322 (0.0246341756298),0.106646223585 (0.006997107709),0.0819963557175 (0.0030817575922),0.0748676522489 (0.00216757424981),0.270724166792 (0.0753600215357),0.40062774328 (0.101649611241),0.55312166789 (0.10510512726),0.606452437416 (0.0963435527202),0.798455598904 (0.0574075079713),0.920532345597 (0.0379759068719),0.952386399375 (0.0265887149627),0.309203393012 (0.0852508714911),0.320377171133 (0.0801495285566),0.276598864982 (0.0510369253704),0.255477645757 (0.0391532910732),0.188149034783 (0.0123950927127),0.150573203993 (0.00561525891314),0.13881692054 (0.00391030759164),0.00153303146362 (0.000469969140436),0.106519699097 (0.0235028176873)
0.642504020947 (0.0122106005098),0.933313333333 (0.00159924982414),"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.148301132578 (0.0201661935728),0.134088637121 (0.0109418743701),0.118046992168 (0.00615400840531),0.112784962005 (0.00463125277223),0.0927804813012 (0.00293598470416),0.0782187458335 (0.00338171856891),0.0729540018039 (0.0027298906288),0.110980186653 (0.0142609550146),0.200647799161 (0.0149680684976),0.353329729291 (0.0173149139001),0.421991905092 (0.0164940886215),0.694423629405 (0.02534253101),0.877990481843 (0.0379592372356),0.927888054199 (0.0298485286233),0.126935743623 (0.0166405358078),0.160727780567 (0.0125138041587),0.176949247105 (0.00888232274066),0.177979524211 (0.00700403558864),0.163680904194 (0.0051337593894),0.143634657918 (0.00614331734913),0.135267193396 (0.00494653719905),0.00131525993347 (0.000248379738415),0.0738370418549 (0.00781527289631)
0.790596171446 (0.00560151196423),0.7681 (0.00453882020892),"LogisticRegression(C=1, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",0.420652898068 (0.0122091524999),0.310229923359 (0.00917420852911),0.199933344443 (0.00642059462103),0.173816824423 (0.00487023465279),0.112005866276 (0.00290983464777),0.0847073463402 (0.00223329488203),0.076679345908 (0.00178234236407),0.314909243092 (0.00663506521174),0.464242395697 (0.00420631972657),0.598273511882 (0.00871907569249),0.650174269218 (0.00641172896953),0.837918419326 (0.00778988258155),0.950487593142 (0.0054136507349),0.975188107323 (0.0032618988913),0.360129860655 (0.00789287583745),0.371871153729 (0.00762980865993),0.29967630463 (0.00803055185966),0.274275708415 (0.00640188742004),0.197586552727 (0.00461475354014),0.15554518687 (0.0038039899605),0.142173559241 (0.00305934043865),0.0016086101532 (0.000213863299435),0.982688379288 (0.0832374844148)
0.698519315256 (0.00421055040956),0.933846666667 (0.00180992326418),"LogisticRegression(C=1, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1e-05,
          verbose=0, warm_start=False)",0.349766822119 (0.0120363382179),0.247717427524 (0.00925758366101),0.165205799033 (0.00537869461342),0.144540727903 (0.00466901461455),0.0987267515499 (0.00235799650364),0.0773743389183 (0.00189660548041),0.0709619230618 (0.00170545032189),0.261811467306 (0.00613660064409),0.370644447978 (0.0068769235285),0.494366394818 (0.00847600079235),0.540618329879 (0.00747156524987),0.73859616132 (0.00470662228263),0.868236182825 (0.0029602839221),0.90246064338 (0.00396037657431),0.299422518713 (0.00785020871964),0.296921584138 (0.00862384181682),0.247625440025 (0.00684805324765),0.22807524618 (0.00633290796315),0.174161795522 (0.0036899785666),0.142080258925 (0.00320854146276),0.131572564612 (0.0029380229326),0.00163502693176 (0.000441355291038),2.47548313141 (0.297957339919)
